_p5oMYHQ4QIOqId1rehUzg,burrito,steak,taco,salsa,sauce,,,,
4H7Olit19_wdu14hJI-tiw,salsa,pork,crab,chipotle,shrimp,ceviche,chicken,taco,burrito
4qiD9hcUiY4AfCBBqpMYeQ,taco,salsa,chip,chicken,carneasada,taco,bean,carnitas,burrito
6qKjl6xJQzLb9ka-QbTudA,enchilada,salsa,taco,chip,beans,corn,verde,cazuelas,quesadilla
70wdapytmcllrnb1euw6fg,chicken,guacamole,enchiladas,tacos,carnitas,chillis,lobster,tortilla,mariscos
7KkgMcbVaetryW1wwpzvvA,salad,burrito,pork,chicken,chipotle,chimichanga,tortilla,enchilada,tacos
92lt0pzWl8RRZiPCikDUpA,asada,carne,fries,tortaco,taco,chicken,guacomole,burrito,bean
9aH2RIxER2_9GlX12l3K-w,taco,chip,guacomole,taco,avocado,enchilada,chicken,fish,tortilla
Ae5S7cr7TlRUMLOa6E6f0A,burritos,salsa,taco,enchilada,burrito,bean,chips,guacamole,enchilada
ckQdUPdUOX18yOhE2aV8sA,salsa,carne asada,enchilada,burrito,shrimp,chicken,guacomole,bean,taco
EryvpcMxoaOr_BnQVMqQIg,taco,burrito,enchilada,salsa,tortilla,chip,tacos,chicken,steak
etshd1lx0xcd2qinwixxza,burrito,taco,torta ahogada,ahogada,asada,sandwich,carne asada,salsa,birria
eul4wrpoczkobks93pxv5a,chimichanga,lobster,enchiladas,taco,margarita,fish,steak,pork,chipotle
vNwj8u1KbnKPQFMTd3TDWw,salsa,chicken,chips,burrito,beef,taco,beans,salad,margarita
vY8-P5aeFO4xRoH_mUfQ9A,salsa,chicken,barrio,taco,enchilada,margaritas,shrimp,guacamole,
y6Fmhz2CceimbgvxNVgE-w,salsa,chicken,shrimp,chip,taco,enchilada,rice,margarita,guacamole
znNyiHZs5TAX64WonjJ4dg,burrito,carne asada,carnitas,chicken,tacos,burrito,tortilla,salsa,nacho
ZtdCS8XjmL4P6BvMOIQWag,chipotle,taco,burrito,chicken,steak,beef,salsa,tortilla,bean
zwNLJ2VglfEvGu7DDZjJ4g,chip,salsa,margarita,bean,taco,chicken,burrito,beef,chimichanga
zxy7kNPVHsqmKKn7fmGnQA,burrito,fish,chicken,taco,markham,quesadilla,,nachos,pork
