business_id,top_item1,top_item2,top_item3,top_item4,top_item5
4qid9hcuiy4afcbbqpmyeq,salsa,chicken ,pork ,taco,carnitas,burrito,guacamole,carne asada,shrimp
6qkjl6xjqzlb9ka_qbtuda,salsa,chicken ,mole poblano,taco,pork ,salsa verde,elote,carne asada,enchilada
70wdapytmcllrnb1euw6fg,guacamole,chicken ,salsa,shrimp,pork ,fish ,carnitas,churros,tortilla
7kkgmcbvaetryw1wwpzvva,burrito,chicken ,pork ,chipotle,tortilla,barbacoa,enchilada,salsa,taco
92lt0pzwl8rrzipcikdupa,carne asada,guacamole,chicken ,chimichanga,burrito
9ah2rixer2_9glx12l3k_w,guacamole,chicken ,enchilada,fish ,tortilla,salsa,taco,amaranto,quesadilla
_p5omyhq4qioqid1rehuzg,burrito,salsa,fish 
ae5s7cr7tlrumloa6e6f0a,salsa,enchilada,burrito,bean,taco,burro,chicken ,guacamole,machaca
ckqdupduox18yohe2av8sa,salsa,shrimp,chicken ,carne asada,chorizo,taco,enchilada,burrito,menudo
eryvpcmxoaor_bnqvmqqig,salsa,fish ,burrito,taco,bean,chicken ,tortilla,shrimp,guacamole
etshd1lx0xcd2qinwixxza,torta,burrito,salsa,birria,torta ahogada,ahogada,carnitas,pork ,carne asada
eul4wrpoczkobks93pxv5a,salsa,chicken ,chimichanga,enchilada,taco,tortilla,guacamole,tortilla soup,burrito
vnwj8u1kbnkpqfmtd3tdww,salsa,chicken ,taco,burrito,chimichanga,tortilla,burro,carne asada,guacamole
vy8_p5aefo4xroh_mufq9a,salsa,shrimp,chicken ,enchilada,burrito,pork ,carnitas,guacamole,queso
y6fmhz2cceimbgvxnvge_w,salsa,chicken ,shrimp,taco,enchilada,guacamole,carnitas,queso
znnyihzs5tax64wonjj4dg,burrito,carne asada,chicken ,guacamole,salsa,carnitas,bean,taco,quesadilla
ztdcs8xjml4p6bvmoiqwag,chipotle,burrito,chicken ,tortilla,salsa,guacamole,fish ,taco,shrimp
zwnlj2vglfevgu7ddzjj4g,salsa,bean,chicken ,queso,taco,chimichanga,fish ,burrito,guacamole
zxy7knpvhsqmkkn7fmgnqa,burrito,chicken ,quesadilla,fish ,guacamole,nacho
